FORM NUM,LABEL,JAPANESE,ENGLISH (HUMAN),ENGLISH (MACHINE),GERMAN
Form62,Label1, 一冊だけ立読みできて、他はできないようにする。,Allow customers to read up to 1 book in-store before asking them to pay.,,"Erlaube es Kunden, ein Buch gratis zu lesen, bevor sie zahlen müssen."
Form62,Option1,これにする,Choose this,,Dies auswählen.
Form62,Label1,  すべての本を自由に読めるようにする。,Allow customers to read anything at will,,"Erlaube es Kunden, alles nach Belieben zu lesen"
Form62,Label3,お店の立読み対策を決定します ,Select store policy about reading books in-store,,Wähle Ladenbeschluss über das Lesen der Bücher im Laden
Form63,Form63,お客さんの文句,Customer Complaints,,Kundenbeschwerden
Form63,Command1,閉じる,Close,,Schließen
Form63,Label1,この前買った本が、汚かったぞ！,The book I bought earlier was filthy!,,"Das Buch, welches ich vorher gekauft habe, ist dreckig!"
Form63,Label2,立読み対策をしてください,Take measures so that people don't read without paying,,"Tu etwas dagegen, dass Kunden ohne Zahlen die Bücher lesen."
Form63,Label3,お客さんが文句を言っています ,A customer is complaining,,Ein Kunde beschwert sich
Form64,Form64,消えました,The fire is out,,Das Feuer ist ausgegangen
Form64,Label1,火事は、すべてを焼きつくし鎮火しました・・・,"The fire burned everything, then died out...",,Das Feuer hat alles zerstört und ist ausgegangen…
Form64,Command1,閉じる,Close,,Das war knapp!
Form65,Form65,火事発見,Fire!,,Feuer!
Form65,Command1,閉じる,Close,,Das war knapp!
Form65,Label1,近所の住民が火事を発見しました！,Your neighbors have spotted a fire!,,Die Nachbarn haben ein Feuer entdeckt!
Form66,Form66,消えました,Fire went out...phew,,Feuer wurde gelöscht...puh
Form66,Command1,閉じる,Close,,Schließen
Form66,Label1,消防車を呼び火事は鎮火しました。,Fire trucks were called and the fire was extinguished.,,Feuerwehrwägen wurden gerufen und das Feuer wurde gelöscht.
MDIForm1,MMenu,メニュー(&M),Menu (M),,Menü (M)
MDIForm1,MNewGame,新しくはじめる(&N),Start New (N),,Neues Spiel starten (N)
MDIForm1,MSave,ゲームの保存(&S),Save Game (S),,Speichern (S)
MDIForm1,MLoad,ゲームの読込(&L),Load Game (L),,Spiel laden (L)
MDIForm1,MEnd,ゲーム終了(&E),Quit Game (E),,Spiel verlassen (E)
MDIForm1,MAction,行動(&A),Action (A),,Aktion (A)
MDIForm1,MNyuukaH,入荷変更(&H),Change Books In Stock (H),,Ändere die Bücher auf Lager (H)
MDIForm1,MBookIn,入荷雑誌変更(&I),Change Magazines In Stock (L),,Ändere die Magazine auf Lager (L)
MDIForm1,MSysoseki,書籍を入荷(&N),Books in Stock (N),,Bücher auf Lager (N)
MDIForm1,MTenin,店員関係(&M),Employee Relationship (T),,Mitarbeiterverhältnis (T)
MDIForm1,MTeen,店員を雇用(&T),Hire Employee (T),,Mitarbeiter einstellen (T)
MDIForm1,MKaiko,店員を解雇(&O),Fire Employee (O),,Mitarbeiter feuern (O)
MDIForm1,MTeninSetup,店員の設定(&S),Employee Settings (S),,Mitarbeitereinstellungen (S)
MDIForm1,MEigyouHousin,お店の営業方針(&E),Store Sales Plan (E),,Laden-Verkaufsplan (E)
MDIForm1,MEigyou,お店のサービス内容(&E),Store Services (E),,Ladenservices (E)
MDIForm1,Menu MTatiyomi,立ち読み対策(&T),Browsing Policy (T),,Die Regeln durchsuchen (T)
MDIForm1,MHoken,保険に入る(&H),Get Insurance (H),,Versicherung bekommen (H)
MDIForm1,MSouzi,お店を掃除する(&S),Clean the Store (S),,Den Laden reinigen (S)
MDIForm1,MSenden,お店の宣伝をする(&S),Advertise the Store (S),,Für den Laden werben (S)
MDIForm1,MTakarakuzi,宝くじを買う(&T),Set up Lottery (T),,Lotterie einrichten (T)
MDIForm1,MGinkou,銀行へ行く(&G),Go to the Bank (G),,Zur Bank gehen (G)
MDIForm1,MTaisin,耐震工事をする(&T),Earthquake Proofing (T),,Erdbebenschutz (T)
MDIForm1,MSyoubou,消防車を呼ぶ(&S),Call Fire Dept (S),,Feuerwehr rufen (S)
MDIForm1,MKibo,お店の規模拡大(&K),Expand the Store (K),,Erweitere den Laden (K)
MDIForm1,MInformation,情報(&I),Information (I),,Information (I)
MDIForm1,MZaiko,在庫(&Z),Inventory (Z),,Inventar (Z)
MDIForm1,MZssiInfo,雑誌の在庫(&Z),Magazine Inventory (Z),,Magazininventar (Z)
MDIForm1,MSyosekiZaiko,書籍の在庫(&S),Book Inventory (S),,Bücherinventar (S)
MDIForm1,MGurahu,グラフ(&G),Graph (G),,Diagramm (G)
MDIForm1,MRiekiGurahu,お店の利益グラフ(&R),Store Profit Graph (R),,Ladenprofitdiagramm (R)
MDIForm1,MBookGurahu,本の売り数グラフ(&G),Book Sales Graph (G),,Buchverkaufsdiagramm (G)
MDIForm1,MGuest,お客さんの意見(&G),Customer Opinion (G),,Kundenmeinung (G)
MDIForm1,MGRead,業界新聞を読む(&R),Read Biz Paper (R),,Wirtschaftszeitung lesen (R)
MDIForm1,MNyuuka,入荷スケジュール(&N),Arrivals Schedule (N),,Ankunftsplan (N)
MDIForm1,MTinfor,店員情報(&T),Employee Info (T),,Mitarbeiter-Info (T)
MDIForm1,MBookInfo,お店の利益(&S),Store Profit (S),,Ladenprofit (S)
MDIForm1,MBookSyousai,お店の詳細情報(&S),Detailed Store Info (S),,Detailierte Ladeninfo (S)
MDIForm1,MWindow,ウインドウ(&W),Window (W),,Fenster (W)
MDIForm1,MSwitch,ウインドウ切り替え(&W),Window Switching (W),,Fenster wechseln (W)
MDIForm1,MSetup,設定(&S),Settings (S),,Einstellungen (S)
MDIForm1,MSound,効果音の設定(&S),Sound Settings (S),,Soundeinstellungen (S)
MDIForm1,MSoundYes,鳴らす(&Y),Ring (Y),,Klingeln (Y)
MDIForm1,MSoundNo,鳴らさない(&N),Don't ring (N),,Nicht klingeln (N)
MDIForm1,MKabegami,壁紙の設定(&K),Background Settings (K),,Hintergrundeinstellungen (K)
MDIForm1,MKabeTitle,タイトル(&T),Title (T),,Titel (T)
MDIForm1,MKAbeMoyou,模様(&M),Design (M),,Design (M)
MDIForm1,MKabeNothing,なし(&N),None (N),,Nichts (N)
MDIForm1,MSSetup,設定(&S),Settings (S),,Einstellungen (S)
MDIForm1,MGameSpeed,ゲームスピード(&G),Game Speed (G),,Geschwindigkeit (G)
MDIForm1,MHelp,ヘルプ(&H),Help (H),,Hilfe (H)
MDIForm1,MHelpGame,ヘルプ(&H),Help (H),,Hilfe (H)
MDIForm1,MHelpVersion,バージョン情報(&A)...,Version Info (A),,Versionsinfo (A)
